Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Local,1403693,1534238945000,0,14954,0,0,23603,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,1403693,1534238945000,78724,235044,87937,66645,110626,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,1658376,1534242634000,0,0,0,0,18158,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,1658376,1534242634000,53434,220090,82499,57457,105181,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,2159970,1534251600000,0,0,0,0,1806,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,2159970,1534251600000,28721,180349,68723,39500,88829,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,2211337,1534252724000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,2211337,1534252724000,27306,175881,67332,37575,87023,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,2912107,1534273200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,2912107,1534273200000,2744,102148,50381,6409,69162,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,3176462,1534283997000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,3176462,1534283997000,-13372,76384,46268,-1561,64156,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,3361164,1534305600000,0,38192,23134,0,32078,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,3361164,1534305600000,-13372,76384,46268,-1561,64156,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,3577682,1534312610000,0,0,10544,0,20302,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,3577682,1534312610000,-14326,38192,33678,-1736,52380,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,3928623,1534320197000,0,0,3077,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,3928623,1534320197000,-17097,-25838,26211,-3274,32078,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,4095079,1534323960000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,4095079,1534323960000,-18688,-54279,23134,-4290,25299,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,4267029,1534327200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,4267029,1534327200000,-20530,-80531,19062,-5197,17856,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,5314011,1534348800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,5314011,1534348800000,-29818,-230540,-19865,-7326,-28828,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,5726250,1534363199000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,5726250,1534363199000,-31234,-301705,-37088,-7829,-44983,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,5979990,1534384801000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Global,5979990,1534384801000,-31234,-301705,-37088,-7829,-44983,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
Local,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.001,0.0,1,DAILY,1,True,0.0,0.0
